"t_state","t_county","tot_cap","avg_p_cap","avg_hh","avg_rd","ordinance","t_manu","turbines","t_model","t_rsa","t_ttlh","fraction_of_usable_area","capacity","wind_speed","capacity_factor","area_2010"
"ND","Ward",120,111.3375,80,77.20625,0,"GE Wind",80,"GE1.5-77",4682.467125,118.70125,0.971119907407407,15.6296296296296,7.94768518518519,0.446013888888889,2013.28
"ND","Williams",442,221.3,90.6944444444444,119.6875,1,"Vestas",144,"V100-2.0",11674.3724305556,150.628472222222,0.77357,13.2,6.69433333333333,0.3501,2077.4
"NE","Adams",1.7,1.7,80,103,1,"GE Wind",1,"GE1.7-103",8332.29,131.4,1,16,7.79454545454545,0.432090909090909,563.27
"NE","Antelope",456.72,171.210087719298,83.5526315789474,105.684210526316,1,"GE Wind",228,"GE1.7-100",8818.285,136.494736842105,1,16,8.289453125,0.473390625,857.22
"NE","Boone",177.07,90.5699115044248,80,87.4557522123894,0,"GE Wind",113,"GE1.5-82.5",6055.95203539823,123.79203539823,1,16,8.32253731343284,0.475791044776119,686.55
"NE","Brown",59.4,59.4,70,82,1,"Vestas",36,"V82-1.65",5281.02,110.9,1,16,8.14267716535433,0.45288188976378,1221.33
"NE","Custer",153.1,77.6677419354839,80,90.5913978494624,0,"GE Wind",93,"GE1.6-82.5",6505.39935483871,125.367741935484,0.998888461538462,16,8.19358974358974,0.452807692307692,2575.52
"NE","Dixon",318.15,318.15,87.5,125,0,"Nordex",101,"AW125/3150",12271.85,150,1,16,8.32,0.48,476.23
"NE","Fillmore",6.9,6.9,90,116,1,"GE Wind",3,"GE2.3-116",10568.32,148.1,1,16,7.93,0.447,575.37
"NE","Franklin",32.5,250,80,116,0,"GE Wind",13,"GE2.5-116",10568.32,138.1,1,16,7.8975,0.4377,575.82
"NE","Gage",20.4,74.8,80,100,1,"GE Wind",12,"GE1.7-100",7853.98,130.1,1,16,8.45,0.49,851.49
"NE","Holt",400,400,80,110,1,"Vestas",200,"V110-2.0",9503.32,135,0.998306477732794,15.9838056680162,8.23004048582996,0.466692307692308,2412.4
"NE","Jefferson",54.4,74.8,80,100,1,"GE Wind",32,"GE1.7-100",7853.98,130.1,1,16,8.48,0.489,570.19
"NE","Keya Paha",3,3,65,77,0,"Vensys",2,"Vensys77",4656.63,103.6,1,16,7.96828947368421,0.438776315789474,773.07
"NE","Kimball",30,30,90,116,1,"GE Wind",12,"GE2.5-116",10568.32,148.1,0.988312686567164,15.8358208955224,8.14171641791045,0.42139552238806,951.85
"NE","Knox",123,63.4897959183673,80,90,1,"Vestas",49,"V90-3.0",6361.73,125,0.990882407407407,15.8703703703704,8.31648148148148,0.472518518518519,1108.35
"NE","Platte",13.7,6.84285714285714,80,108.571428571429,0,"GE Wind",7,"GE1.7-103",9290.58857142857,134.271428571429,1,16,8.23,0.471,674.06
"NE","Polk",2.5,2.5,89,127,1,"GE Wind",1,"GE-2.5-127",12667.69,152.5,1,16,8.04,0.454948275862069,438.35
"NE","Richardson",60,60,80,82.5,0,"GE Wind",40,"GE1.5-82.5",5345.62,121.3,1,16,7.83736842105263,0.432421052631579,551.84
"NE","Saline",286.25,155.896276595745,91.0851063829787,127.436170212766,1,"Siemens Gamesa Renewable Energy",94,"V110-2.0",12916.634787234,154.835106382979,1,16,7.91301369863014,0.446575342465753,574.02
"NE","Seward",1.7,1.7,80,103,0,"GE Wind",1,"GE1.7-103",8332.29,131.4,1,16,7.985,0.453833333333333,571.43
"NE","Wayne",648.29,226.364158878505,91.0070093457944,125.004672897196,0,"GE Wind",214,"GE2.82-127",12386.1680373832,153.498598130841,1,16,8.65,0.504,442.92
"NE","Webster",272.46,193.348672566372,80,115.433628318584,1,"GE Wind",113,"GE2.5-116",10472.2371681416,137.816814159292,1,16,7.96,0.442,574.91
"NH","Coos",113.25,87.8486842105263,80.6578947368421,91.7105263157895,0,"Vestas",38,"V90-3.0",6621.01421052632,126.526315789474,0.762667647058824,13.0470588235294,8.02217647058824,0.461635294117647,1794.69
"NH","Grafton",48,48,78,87,0,"Gamesa",24,"G87-2.0",5944.68,121.6,0.819181052631579,13.7894736842105,7.99284210526316,0.467305263157895,1708.75
"NH","Hillsborough",28.8,28.8,91.0555555555556,113,0,"Siemens",9,"SWT-3.2-113",10028.75,147.544444444444,0.86015,14.4285714285714,7.64071428571429,0.466071428571429,876.14
"NH","Sullivan",24,24,78,87,0,"Gamesa",12,"G87-2.0",5944.68,121.6,0.823727272727273,13.8636363636364,8.44022727272727,0.520954545454545,537.31
"NJ","Atlantic",7.5,7.5,80,77,0,"GE Wind",5,"GE1.5-77",4656.63,118.6,0.6754,12,7.33,0.416666666666667,555.7
"NJ","Hudson",1.5,1.5,65,77,0,"Leitner Poma",1,"LTW-77",4656.63,103.6,0.06255,2.5,6.06,0.3385,46.19
"NM","Catron",99.8,99.8,94.1176470588235,137.176470588235,0,"GE Wind",34,"GE3.0-140",14826.0964705882,162.805882352941,0.753999333333333,12.6933333333333,6.30753333333333,0.274913333333333,6923.69
"NM","Chaves",162.93,159.231578947368,81,91.9105263157895,0,"Mitsubishi",76,"MWT62/1.0",7563.05894736842,127.014473684211,0.913070135746606,14.9864253393665,7.43837104072398,0.348049773755656,6065.28
"NM","Cibola",102.4,102.4,80,82.5,0,"GE Wind",64,"GE1.6-82.5",5345.62,121.3,0.853245454545455,14.4545454545455,6.80836363636364,0.311881818181818,4539.48
"NM","Curry",483.12,156.926798029557,81.9211822660099,110.827586206897,0,"Siemens",203,"SWT-2.3-108",9747.54600985222,137.427093596059,0.889500420168067,14.7058823529412,8.59924369747899,0.447953781512605,1404.8
"NM","Guadalupe",296.06,355.917962962963,88.75,126.694444444444,0,"GE Wind",108,"GE 2.82-127",12609.3741666667,152.072222222222,0.890227797202797,14.6888111888112,8.27713286713287,0.403368881118881,3030.48
"NM","Lea",192.2,145.814285714286,97.0535714285714,127.125,0,"Siemens Gamesa Renewable Energy",56,"SG-4.5-145",13015.1016071429,160.669642857143,0.987772033898305,15.864406779661,7.77720338983051,0.402110169491525,4390.93
"NM","Lincoln",86.8,1055.6,89,127,1,"GE Wind",31,"GE2.8-127",12667.69,152.4,0.930203753351206,15.2064343163539,8.26573726541555,0.398892761394102,4831.09
"NM","Luna",50.4,50.4,80,100,0,"Vestas",28,"V100-1.8",7853.98,130.1,0.892022857142857,14.5714285714286,6.44514285714286,0.319485714285714,2965.19
"NM","Quay",236.4,124.187640449438,75.5112359550562,77.6067415730337,0,"GE Wind",178,"GE1.5-87",4957.80831460674,114.262921348315,0.894523285486443,14.8133971291866,8.4575279106858,0.424164274322169,2874.35
"NM","Roosevelt",902.25,353.943949044586,78.0849256900212,102.876433121019,0,"Vestas",471,"V120-2.2",8655.9474522293,129.509766454352,0.974828378378378,15.7162162162162,8.09567567567568,0.420540540540541,2447.43
"NM","Torrance",1503.6,691.905719237435,86.1611785095321,123.038128249567,0,"GE Wind",577,"GE2.8-127",11916.5833795494,147.59410745234,0.903729922779923,14.8416988416988,8.54420849420849,0.411179536679537,3344.85
"NV","White Pine",151.8,151.8,80,101,0,"Siemens",66,"SWT-2.3-101",8011.85,130.5,0.816742986425339,13.6515837104072,6.48088235294118,0.305570135746606,8875.65
"NY","Chautauqua",203.875,102.262465753425,93.2465753424657,113.13698630137,0,"Vestas",73,"V110-2.0",10061.3076712329,149.778082191781,0.835197512437811,13.8308457711443,7.44039800995025,0.410830845771144,1060.23
"NY","Clinton",494.25,127.001953125,83.828125,86.5703125,0,"GE Wind",256,"GE1.5-77",6077.2471875,127.1859375,0.891407142857143,14.8428571428571,7.90764285714286,0.465592857142857,1037.85
"NY","Erie",36.5,16.7666666666667,80.3333333333333,93.4866666666667,0,"Clipper",15,"C93",6872.826,127.08,0.738507111111111,12.56,7.07373333333333,0.390524444444444,1042.69
"NY","Franklin",184.2,96.6333333333333,84.4537037037037,89.6759259259259,0,"GE Wind",108,"GE1.5-77",6558.15592592593,129.357407407407,0.829687741935484,14.0258064516129,7.578,0.450212903225806,1629.12
"NY","Herkimer",74,74,100,90,0,"Gamesa",37,"G90-2.0",6361.73,145.1,0.775498979591837,13.1020408163265,7.2830612244898,0.415959183673469,1411.47
"NY","Lewis",480.725,144.575196850394,84.242125984252,90.759842519685,0,"Vestas",254,"V82-1.65",6706.22374015748,129.627952755906,0.895033928571429,14.875,7.60026785714286,0.441669642857143,1274.68
"NY","Madison",58.5,31.4615384615385,72.8205128205128,73.9615384615385,0,"GE Wind",39,"GE1.5-70.5",4305.79384615385,109.871794871795,0.821388571428571,13.7714285714286,7.56442857142857,0.425214285714286,654.84
"NY","Oneida",6,34.5,80,77,0,"GE Wind",4,"GE1.5-77",4656.63,118.6,0.846894736842105,14.3157894736842,7.67157894736842,0.437368421052632,1212.43
"NY","Ontario",3.3,3.3,70,82,0,"Hyundai",2,"HQ1650",5281.02,110.9,0.77125375,13.25,7.8125,0.4561875,644.07
